Year,Month,Professional Area,License Type,County,State,Count
2025,February,Appraisal Management Companies,Appraisal Management Company,Unknown or Out of State,GA,5
2025,February,Notary Public,Notary Public,Unknown or Out of State,OR,55
2025,February,Cosmetology,Cosmetologist,Whatcom,WA,1064
2025,February,Home Inspector,Home Inspector,King,WA,248
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Pierce,WA,141
2025,February,Appraisers - Real Estate,State Licensed Appraiser,King,WA,11
2025,February,Collection Agency,Out Of State Collection Agency Branch,Unknown or Out of State,MT,3
2025,February,Real Estate,Real Estate Broker,Whatcom,WA,967
2025,February,Cosmetology,Salon Shop,Whatcom,WA,401
2025,February,Real Estate,Real Estate Managing Broker,Stevens,WA,22
2025,February,Funerals,Prearrangement Funeral Services,Jefferson,WA,1
2025,February,Cosmetology,Manicurist,Ferry,WA,5
2025,February,Combative Sports,Judge,Unknown or Out of State,WI,1
2025,February,Architects,Architect,Spokane,WA,175
2025,February,Funerals,Funeral Director,Pend Oreille,WA,3
2025,February,Cosmetology,Esthetician,Unknown or Out of State,FL,267
2025,February,Real Estate,Real Estate Instructor,Yakima,WA,2
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Pacific,WA,1
2025,February,Sellers of Travel,Sellers of Travel Branch,Kitsap,WA,2
2025,February,Real Estate,Real Estate Broker,Unknown or Out of State,MD,3
2025,February,Body Art and Body Piercing,Permanent Cosmetics,Spokane,WA,89
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Snohomish,WA,139
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,MO,21
2025,February,Funerals,Funeral Establishment,Yakima,WA,9
2025,February,Collection Agency,Out Of State Collection Agency,Unknown or Out of State,UT,5
2025,February,Commercial Telephone Solicitors,Commercial Telephone Solicitors,Unknown or Out of State,CO,2
2025,February,Real Estate,Real Estate Course,Okanogan,WA,2
2025,February,Architects,Architect Firm,Unknown or Out of State,KS,12
2025,February,Timeshares,Timeshare Salesperson,Unknown or Out of State,OR,7
2025,February,Architects,Architect,Unknown or Out of State,NY,98
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,MI,36
2025,February,Security Guards,Security Guard,Spokane,WA,664
2025,February,Cosmetology,Barber,Chelan,WA,48
2025,February,Real Estate,Real Estate Broker,Jefferson,WA,117
2025,February,CDL Training and Examining,CDL Training Instructor,Snohomish,WA,117
2025,February,Architects,Architect,Lewis,WA,5
2025,February,Geologist,Geologist,Douglas,WA,6
2025,February,Notary Public,Notary Public,Benton,WA,1952
2025,February,Body Art and Body Piercing,Permanent Cosmetics,Chelan,WA,19
2025,February,Commercial Telephone Solicitors,Commercial Telephone Solicitors,Unknown or Out of State,MD,1
2025,February,Collection Agency,Collection Agency Branch,Unknown or Out of State,TX,19
2025,February,Auctioneers and Auction Company,Auctioneer,Stevens,WA,2
2025,February,Cosmetology,Esthetician,Unknown or Out of State,DE,1
2025,February,Cosmetology,Master Esthetician,Unknown or Out of State,CO,4
2025,February,Body Art and Body Piercing,Body Art (Branding/Scarification),King,WA,3
2025,February,CDL Training and Examining,CDL Training Provider-School,Lewis,WA,2
2025,February,Bail Bonds,Bail Bond Agent,Walla Walla,WA,1
2025,February,Funerals,Embalmer Intern,Franklin,WA,1
2025,February,Cosmetology,School,Pierce,WA,10
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Spokane,ID,1
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,IN,3
2025,February,Funerals,Funeral Establishment Branch,Kittitas,WA,2
2025,February,Collection Agency,Out Of State Collection Agency,Unknown or Out of State,OK,2
2025,February,Cosmetology,Manicurist,Unknown or Out of State,NH,4
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,MO,3
2025,February,Cosmetology,Instructor,Stevens,WA,4
2025,February,Geologist,Geologist,Unknown or Out of State,IL,2
2025,February,Appraisers - Real Estate,Temporary Certified General,Unknown or Out of State,TN,1
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,ME,1
2025,February,Appraisers - Real Estate,Certified General Appraiser,Ferry,WA,1
2025,February,Architects,Architect,San Juan,WA,15
2025,February,Landscape Architects,Landscape Architect,Whatcom,WA,13
2025,February,Cosmetology,Personal Service,Okanogan,WA,1
2025,February,CDL Training and Examining,CDL Training Provider-School,Kitsap,WA,1
2025,February,Cosmetology,Salon Shop,Chelan,WA,183
2025,February,Private Investigator,Private Investigator,Kittitas,WA,2
2025,February,Geologist,Geologist,Unknown or Out of State,NM,11
2025,February,Sellers of Travel,Out of State Seller of Travel,Unknown or Out of State,CA,57
2025,February,Real Estate,Real Estate Firm,Kitsap,WA,119
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Unknown or Out of State,AZ,3
2025,February,Bail Bonds,Bail Bond Recovery Agent,Spokane,WA,3
2025,February,Appraisers - Real Estate,Appraiser Trainee,Unknown or Out of State,OR,4
2025,February,Body Art and Body Piercing,Permanent Cosmetics,Garfield,WA,1
2025,February,Private Investigator,Private Investigator Agency,Unknown or Out of State,NH,1
2025,February,Auctioneers and Auction Company,Auctioneer,Unknown or Out of State,NA,1
2025,February,Real Estate,Real Estate Broker,Unknown or Out of State,MN,1
2025,February,Collection Agency,Out Of State Collection Agency,Unknown or Out of State,IA,1
2025,February,Collection Agency,Collection Agency,Kittitas,WA,1
2025,February,Collection Agency,Collection Agency Branch,Unknown or Out of State,CT,1
2025,February,Real Estate,Real Estate Instructor,Unknown or Out of State,LA,1
2025,February,Architects,Architect Firm,Unknown or Out of State,MT,1
2025,February,Collection Agency,Collection Agency Branch,Unknown or Out of State,MO,2
2025,February,Camping Resorts,Camping Resort Salesperson,Whatcom,WA,2
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,IA,1
2025,February,Sellers of Travel,Sellers of Travel,Asotin,WA,2
2025,February,Cosmetology,Hair Designer,Unknown or Out of State,WA,1
2025,February,Collection Agency,Out Of State Collection Agency Branch,Unknown or Out of State,IN,2
2025,February,Cemeteries,Alkaline Hydrolysis Operator,Unknown or Out of State,Out of State,1
2025,February,Body Art and Body Piercing,Tattoo Artist,Unknown or Out of State,WA,1
2025,February,Cosmetology,Barber,Columbia,WA,1
2025,February,Architects,Architect,Unknown or Out of State,ON,9
2025,February,Funerals,Embalmer,Asotin,WA,1
2025,February,CDL Training and Examining,CDL Training Instructor,Klickitat,WA,5
2025,February,Cosmetology,Esthetician,Clark,WA,1001
2025,February,Funerals,Embalmer,Clark,WA,10
2025,February,Sellers of Travel,Out of State Seller of Travel,Unknown or Out of State,FL,79
2025,February,Cemeteries,Cemetery,Clallam,WA,4
2025,February,Private Investigator,Private Investigator,Unknown or Out of State,NY,3
2025,February,Real Estate,Real Estate Course,King,WA,341
2025,February,Cosmetology,Hair Designer,Island,WA,8
2025,February,Private Investigator,Private Investigator,Grant,WA,8
2025,February,Combative Sports,Promoter,Snohomish,WA,1
2025,February,Body Art and Body Piercing,Tattoo Artist,Mason,WA,13
2025,February,Cosmetology,Salon Shop,Clark,WA,925
2025,February,Commercial Telephone Solicitors,Commercial Telephone Solicitors,Unknown or Out of State,MO,1
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Unknown or Out of State,CO,1
2025,February,CDL Training and Examining,CDL Training Provider-School,Unknown or Out of State,Out of State,1
2025,February,Cosmetology,Barber,Unknown or Out of State,ME,1
2025,February,Cosmetology,Personal Service,Unknown or Out of State,Out of State,1
2025,February,Appraisers - Real Estate,State Licensed Appraiser,Skamania,WA,1
2025,February,Timeshares,Timeshare Company,Unknown or Out of State,IL,1
2025,February,Body Art and Body Piercing,Body Piercing,Unknown or Out of State,CA,1
2025,February,Real Estate,Real Estate Managing Broker,Unknown or Out of State,MA,2
2025,February,Architects,Architect,Unknown or Out of State,AP,1
2025,February,Combative Sports,Timekeeper,Thurston,WA,1
2025,February,Combative Sports,Matchmaker,Pierce,WA,1
2025,February,Notary Public,Notary Public,Unknown or Out of State,TX,4
2025,February,Bail Bonds,Bail Bond Agency Branch,Skagit,WA,1
2025,February,Bail Bonds,Bail Bond Agency,Kitsap,WA,3
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,AE,1
2025,February,Geologist,Geologist,Unknown or Out of State,ID,46
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,FL,764
2025,February,Collection Agency,Collection Agency Branch,Unknown or Out of State,IL,9
2025,February,Geologist,Geologist,Unknown or Out of State,CA,111
2025,February,Collection Agency,Collection Agency Branch,Snohomish,WA,3
2025,February,Geologist,Geologist,Unknown or Out of State,SC,6
2025,February,Cosmetology,Salon Shop,Unknown or Out of State,FL,1
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Klickitat,WA,4
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,OH,6
2025,February,Combative Sports,Inspector,King,WA,2
2025,February,Geologist,Geologist In Training,Skagit,WA,5
2025,February,Notary Public,Notary Public,Mason,WA,563
2025,February,Real Estate,Real Estate Managing Broker,Klickitat,WA,26
2025,February,Cosmetology,Manicurist,Unknown or Out of State,Out of State,45
2025,February,Security Guards,Security Guard,Grays Harbor,WA,72
2025,February,Real Estate,Real Estate Branch,Spokane,WA,23
2025,February,Real Estate,Real Estate Firm,Douglas,WA,7
2025,February,Architects,Architect Firm,Unknown or Out of State,NM,1
2025,February,Cosmetology,Master Esthetician,Lincoln,WA,3
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Pacific,WA,7
2025,February,Security Guards,Security Guard,Whitman,WA,4
2025,February,Funerals,Prearrangement Funeral Services,Douglas,WA,2
2025,February,Funerals,Funeral Director Intern,Garfield,WA,1
2025,February,Funerals,Embalmer,Unknown or Out of State,MI,1
2025,February,Funerals,Funeral Director,Lincoln,WA,2
2025,February,Camping Resorts,Camping Resort Salesperson,Unknown or Out of State,WY,2
2025,February,Private Investigator,Private Investigator,Adams,WA,1
2025,February,Funerals,Embalmer Intern,Pend Oreille,WA,1
2025,February,Combative Sports,Theatrical Wrestling School,Thurston,WA,1
2025,February,Landscape Architects,Landscape Architect,Unknown or Out of State,KS,1
2025,February,Combative Sports,Physician,Clark,WA,1
2025,February,Whitewater River Outfitters,Whitewater River Outfitters,Okanogan,WA,1
2025,February,Cosmetology,School,Clallam,WA,1
2025,February,Private Investigator,Private Investigator,Walla Walla,WA,1
2025,February,CDL Training and Examining,CDL Training Instructor,Unknown or Out of State,NM,1
2025,February,Funerals,Funeral Director,Unknown or Out of State,MO,1
2025,February,Real Estate,Real Estate Course,Unknown or Out of State,OK,1
2025,February,Collection Agency,Out Of State Collection Agency Branch,Unknown or Out of State,VA,25
2025,February,Combative Sports,Theatrical Wrestling School,Benton,WA,1
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Island,WA,4
2025,February,Sellers of Travel,Sellers of Travel,Whatcom,WA,27
2025,February,Cosmetology,Instructor,Kitsap,WA,43
2025,February,Architects,Architect,Snohomish,WA,215
2025,February,Appraisers - Real Estate,Appraiser Trainee,King,WA,72
2025,February,CDL Training and Examining,CDL Training Instructor,Franklin,WA,18
2025,February,Court Reporters,Court Reporter,Island,WA,3
2025,February,Funerals,Funeral Establishment,Adams,WA,2
